freq_rank,lemma
671,mess
672,tough
673,church
674,sad
675,cell
676,drunk
677,share
678,camera
679,card
680,fly
681,ben
682,girlfriend
683,smell
684,broken
685,mum
686,honest
687,often
688,spent
689,third
690,english
691,visit
692,mama
693,judge
694,window
695,hungry
696,dare
697,relationship
698,prove
699,private
700,wall
701,seat
702,position
703,lieutenant
704,realize
705,lt
706,especial
707,machine
708,art
709,pleasure
710,bloody
711,college
712,french
713,involve
714,became
715,impossible
716,obvious
717,neither
718,accept
719,boyfriend
720,beside
721,queen
722,teacher
723,cop
724,sake
725,carry
726,teach
727,apartment
728,upset
729,green
730,cute
731,evil
732,professor
733,contact
734,joke
735,huge
736,ho
737,store
738,jail
739,lawyer
740,doubt
741,continue
742,appreciate
743,cat
744,shop
745,congratulation
746,wrote
747,village
748,quit
749,field
750,jam
751,wine
752,decision
753,south
754,slow
755,laughter
756,island
757,glass
758,begin
759,cash
760,dy
761,hundred
762,difference
763,plane
764,push
765,north
766,tree
767,madam
768,gift
769,truck
770,bear
771,board
772,grab
773,beer
774,stuck
775,magic
776,support
777,rule
778,grunt
779,partner
780,reach
781,wind
782,colonel
783,max
784,immediate
785,thousand
786,experience
787,cheer
788,victim
789,computer
790,christ
791,planet
792,bu
793,henry
794,dirty
795,search
796,arrest
797,sudden
798,usual
799,sho
800,jump
801,rid
802,knock
803,owe
804,harry
805,grow
806,worst
807,river
808,aunt
809,patient
810,kitchen
811,fat
812,summer
813,bob
814,escape
815,everywhere
816,moon
817,arm
818,address
819,match
820,gasp
821,grand
822,nervous
823,de
824,choose
825,mate
826,press
827,bother
828,foot
829,blame
830,crap
831,drug
832,type
833,ring
834,mission
835,heaven
836,pari
837,race
838,risk
839,further
840,danny
841,action
842,allow
843,price
844,arrive
845,nick
846,otherwise
847,fit
848,smoke
849,favor
850,notice
851,awesome
852,smile
853,director
854,guard
855,spot
856,innocent
857,narrator
858,london
859,feeling
860,enemy
861,battle
862,alex
863,dollar
864,nine
865,gay
866,department
867,guilty
868,apart
869,earlier
870,duty
871,jim
872,suit
873,bell
874,west
875,leg
876,hero
877,destroy
878,stage
879,bunch
880,accord
881,chicken
882,bigger
883,low
884,admit
885,witness
886,upstair
887,steal
888,jimmy
889,kick
890,twice
891,cross
892,sergeant
893,inde
894,ga
895,energy
896,pregnant
897,waste
898,favorite
899,tony
900,taste
901,lock
902,adam
903,prince
904,form
905,sold
906,sil
907,mention
908,throat
909,hole
910,track
911,steve
912,breakfast
913,engine
914,written
915,video
916,applause
917,however
918,pressure
919,fresh
920,weapon
921,sky
922,stole
923,study
924,burn
925,crowd
926,treat
927,roll
928,double
929,spirit
930,danger
931,cost
932,empty
933,level
934,memory
935,nose
936,bathroom
937,built
938,closer
939,ray
940,sarah
941,band
942,groan
943,apparent
944,excite
945,richard
946,animal
947,flight
948,nature
949,raise
950,pop
951,client
952,bomb
953,neck
954,suspect
955,warm
956,extra
957,bottle
958,van
959,heavy
960,mommy
961,wild
962,ridiculous
963,simp
964,lee
965,billy
966,camp
967,medical
968,shame
969,bird
970,majesty
971,flower
972,famous
973,asleep
974,beauty
975,driver
976,rain
977,awful
978,large
979,local
980,deserve
981,goddamn
982,stone
983,jane
984,grace
985,consider
986,weekend
987,lay
988,plenty
989,will
990,pant
991,sweetheart
992,skin
993,excellent
994,asshole
995,beach
996,faith
997,beg
998,responsible
999,military
1000,opportunity
1001,common
1002,bottom
1003,german
1004,whoever
1005,cook
1006,justice
1007,hall
1008,commander
1009,main
1010,knife
1011,devil
1012,necessary
1013,princess
1014,dick
1015,rose
1016,hat
1017,johnny
1018,corner
1019,code
1020,note
1021,tommy
1022,due
1023,correct
1024,apologize
1025,language
1026,faster
1027,folk
1028,bullshit
1029,fellow
1030,several
1031,grandma
1032,leader
1033,restaurant
1034,east
1035,shout
1036,blind
1037,ghost
1038,cup
1039,gotten
1040,tight
1041,conversation
1042,speed
1043,health
1044,advice
1045,held
1046,possibly
1047,inspector
1048,cousin
1049,trial
1050,emergency
1051,ought
1052,eddie
1053,somehow
1054,account
1055,spoke
1056,file
1057,understood
1058,angel
1059,tape
1060,milk
1061,powerful
1062,practice
1063,manager
1064,pardon
1065,vote
1066,jake
1067,national
1068,career
1069,minister
1070,super
1071,taught
1072,robert
1073,biggest
1074,natural
1075,copy
1076,plu
1077,martin
1078,cake
1079,freedom
1080,breath
1081,operation
1082,chris
1083,crew
1084,challenge
1085,market
1086,meat
1087,student
