freq_rank,lemma
2443,cock
2444,fairy
2445,earl
2446,comment
2447,activity
2448,frame
2449,knight
2450,habit
2451,shelter
2452,flow
2453,jennifer
2454,prevent
2455,anthony
2456,lend
2457,cooper
2458,boston
2459,sample
2460,strip
2461,buzz
2462,monk
2463,slight
2464,produce
2465,annoy
2466,judgment
2467,laundry
2468,ron
2469,lousy
2470,existence
2471,bel
2472,foster
2473,ward
2474,actress
2475,chairman
2476,individual
2477,tattoo
2478,fence
2479,sink
2480,punk
2481,confident
2482,mistaken
2483,limit
2484,st
2485,uncomfortable
2486,wednesday
2487,policeman
2488,precise
2489,greek
2490,mere
2491,underwear
2492,reveal
2493,derek
2494,personality
2495,batman
2496,virginia
2497,wive
2498,colour
2499,pope
2500,instruction
2501,intelligent
2502,vince
2503,impact
2504,relief
2505,host
2506,footage
2507,patrol
2508,circus
2509,mud
2510,capture
2511,occasion
2512,pulse
2513,ad
2514,invent
2515,matthew
2516,auntie
2517,cloud
2518,francis
2519,signature
2520,complain
2521,blah
2522,monitor
2523,pat
2524,britain
2525,hid
2526,wail
2527,vic
2528,smooth
2529,resist
2530,fantasy
2531,passport
2532,pitch
2533,hammer
2534,homicide
2535,casey
2536,flew
2537,jacob
2538,noon
2539,helicopter
2540,spin
2541,slap
2542,app
2543,screech
2544,kit
2545,moan
2546,photograph
2547,fifty
2548,mickey
2549,beneath
2550,farewell
2551,represent
2552,deaf
2553,offense
2554,clown
2555,snap
2556,hood
2557,twelve
2558,liz
2559,humanity
2560,producer
2561,technical
2562,cia
2563,ii
2564,profile
2565,oxygen
2566,jeez
2567,gene
2568,sh
2569,minor
2570,ex
2571,theatre
2572,scientific
2573,chao
2574,rocket
2575,math
2576,stubborn
2577,august
2578,intense
2579,grey
2580,terrorist
2581,angle
2582,invitation
2583,gu
2584,gamble
2585,respond
2586,thirty
2587,procedure
2588,investigate
2589,tragedy
2590,stable
2591,session
2592,stretch
2593,bush
2594,unable
2595,mar
2596,increase
2597,highest
2598,whirr
2599,meanwhile
2600,nate
2601,chop
2602,olivia
2603,reverend
2604,commercial
2605,escort
2606,engagement
2607,corpse
2608,louise
2609,worthy
2610,scale
2611,academy
2612,hop
2613,furniture
2614,ralph
2615,consequence
2616,engineer
2617,caroline
2618,shark
2619,transport
2620,population
2621,succeed
2622,creepy
2623,sneak
2624,destruction
2625,keith
2626,punish
2627,lightning
2628,malcolm
2629,shell
2630,fascinate
2631,chamber
2632,ethan
2633,romance
2634,instance
2635,exhaust
2636,testify
2637,walker
2638,pin
2639,drill
2640,ye
2641,necklace
2642,loyalty
2643,junk
2644,cole
2645,stanley
2646,rita
2647,southern
2648,emotion
2649,begun
2650,maya
2651,liver
2652,surgeon
2653,jazz
2654,ju
2655,deeper
2656,typical
2657,obey
2658,dancer
2659,remote
2660,moron
2661,latin
2662,toby
2663,sandy
2664,strategy
2665,jin
2666,album
2667,compar
2668,rubbish
2669,helpful
2670,powder
2671,sync
2672,bum
2673,joan
2674,fort
2675,alley
2676,supper
2677,penis
2678,alibi
2679,sammy
2680,pole
2681,coke
2682,fighter
2683,highway
2684,blade
2685,alpha
2686,diet
2687,liquor
2688,jet
2689,widow
2690,liberty
2691,philip
2692,moral
2693,carrie
2694,award
2695,grief
2696,thirsty
2697,random
2698,intention
2699,julian
2700,active
2701,tool
2702,driven
2703,trauma
2704,headache
2705,alexander
2706,novel
2707,invisible
2708,internal
2709,peaceful
2710,hum
2711,aid
2712,elephant
2713,core
2714,serial
2715,divine
2716,goat
2717,opera
2718,thieve
2719,objection
2720,whiskey
2721,florida
2722,resistance
2723,attach
2724,aaron
2725,brief
2726,eternal
2727,lois
2728,require
2729,victoria
2730,fabulous
2731,twin
2732,ln
2733,ruth
2734,naughty
2735,stab
2736,tend
2737,diane
2738,tap
2739,soap
2740,locker
2741,development
2742,prick
2743,global
2744,str
2745,bitter
2746,corn
2747,craig
2748,tent
2749,harold
2750,propose
2751,monica
2752,constant
2753,granny
2754,abuse
2755,relative
2756,survival
2757,glove
2758,bend
2759,review
2760,elder
2761,beard
2762,admiral
2763,diana
2764,salary
2765,disturb
2766,pro
2767,maintain
2768,wealth
2769,possession
2770,sang
2771,gimme
2772,burnt
2773,upper
2774,tale
2775,profit
2776,colleague
2777,warehouse
2778,hostage
2779,shore
2780,porn
2781,miami
2782,fifteen
2783,visitor
2784,bo
2785,net
2786,insult
2787,owen
2788,lemon
2789,heal
2790,honeymoon
2791,appeal
2792,marshall
2793,critical
2794,scotland
2795,crane
2796,enormous
2797,testimony
2798,praise
2799,commission
2800,fraud
